foodcategory,fooditem,per100grams,cals_per100grams,kj_per100grams
tropicalexoticfruits,maraschinocherries,100g,165,693
tropicalexoticfruits,muskmelon,100g,34,143
tropicalexoticfruits,noni,100g,53,223
tropicalexoticfruits,passionfruit,100g,97,407
tropicalexoticfruits,pineapple,100g,50,210
tropicalexoticfruits,pinkgrapefruit,100g,42,176
tropicalexoticfruits,plantain,100g,122,512
tropicalexoticfruits,pomegranate,100g,83,349
tropicalexoticfruits,pomelo,100g,38,160
tropicalexoticfruits,pricklypear,100g,41,172
tropicalexoticfruits,rambutan,100g,82,344
tropicalexoticfruits,sapodilla,100g,83,349
tropicalexoticfruits,soursopfruit,100g,66,277
tropicalexoticfruits,starfruit,100g,31,130
tropicalexoticfruits,tamarind,100g,239,1004
tropicalexoticfruits,watermelon,100g,30,126
potatoproducts,allbluepotatoes,100g,61,256
potatoproducts,bakedpotato,100g,93,391
potatoproducts,boiledpotatoes,100g,87,365
potatoproducts,cassava,100g,160,672
potatoproducts,croquettes,100g,127,533
potatoproducts,dumplingdough,100g,124,521
potatoproducts,dumplings,100g,124,521
potatoproducts,frenchfingerlingpotatoes,100g,82,344
potatoproducts,frenchfries,100g,312,1310
potatoproducts,friedpotatoes,100g,312,1310
potatoproducts,gnocchi,100g,133,559
potatoproducts,japanesesweetpotatoes,100g,87,365
potatoproducts,marrowdumplings,100g,424,1781
potatoproducts,mashedpotatoes,100g,89,374
potatoproducts,norlandredpotatoes,100g,89,374
potatoproducts,omelette,100g,154,647
potatoproducts,potato,100g,77,323
potatoproducts,potatodumpling,100g,124,521
potatoproducts,potatofritter,100g,185,777
potatoproducts,potatogratin,100g,132,554
potatoproducts,potatopancakes,100g,268,1126
potatoproducts,potatosalad,100g,143,601
potatoproducts,potatostarch,100g,331,1390
potatoproducts,potatosticks,100g,522,2192
potatoproducts,potatowaffles,100g,167,701
potatoproducts,potatowedges,100g,123,517
potatoproducts,potatoesaugratin,100g,132,554
potatoproducts,purplemajestypotatoes,100g,72,302
potatoproducts,redgoldpotatoes,100g,89,374
potatoproducts,redpotatoes,100g,89,374
potatoproducts,roastpotatoes,100g,149,626
potatoproducts,rosemarypotatoes,100g,93,391
potatoproducts,rösti,100g,138,580
potatoproducts,russetpotatoes,100g,97,407
potatoproducts,russianbananapotatoes,100g,67,281
potatoproducts,sweetpotato,100g,92,386
potatoproducts,whitepotatoes,100g,94,395
potatoproducts,yams,100g,116,487
potatoproducts,yukongoldpotatoes,100g,82,344
vegetables,artichoke,100g,47,197
vegetables,arugula,100g,25,105
vegetables,asparagus,100g,20,84
vegetables,aubergine,100g,25,105
vegetables,beetroot,100g,43,181
vegetables,bellpepper,100g,20,84
vegetables,blackolives,100g,115,483
vegetables,broccoli,100g,34,143
vegetables,brusselssprouts,100g,43,181
vegetables,cabbage,100g,25,105
vegetables,capsicum,100g,27,113
vegetables,carrot,100g,41,172
vegetables,cauliflower,100g,25,105
vegetables,celery,100g,16,67
vegetables,chard,100g,19,80
vegetables,cherrytomato,100g,100,420
vegetables,chicory,100g,72,302
vegetables,chinesecabbage,100g,16,67
vegetables,chives,100g,30,126
vegetables,collardgreens,100g,32,134
vegetables,corn,100g,365,1533
vegetables,courgette,100g,17,71
vegetables,creamedspinach,100g,74,311
vegetables,cucumber,100g,16,67
vegetables,eggplant,100g,25,105
vegetables,endive,100g,17,71
vegetables,fennel,100g,31,130
vegetables,garlic,100g,149,626
vegetables,gherkin,100g,14,59
vegetables,gourd,100g,14,59
vegetables,greenbeans,100g,31,130
vegetables,greenolives,100g,115,483
vegetables,greenonion,100g,32,134
vegetables,horseradish,100g,48,202
vegetables,kale,100g,49,206
vegetables,kohlrabi,100g,27,113
vegetables,kumara,100g,86,361
vegetables,leek,100g,61,256
vegetables,lettuce,100g,15,63
vegetables,mushrooms,100g,22,92
vegetables,mustardgreens,100g,27,113
vegetables,nori,100g,35,147
vegetables,okra,100g,33,139
vegetables,olives,100g,115,483
vegetables,onion,100g,40,168
vegetables,parsnips,100g,75,315
vegetables,peas,100g,81,340
vegetables,pepper,100g,27,113
vegetables,potato,100g,77,323
vegetables,pumpkin,100g,26,109
vegetables,radishes,100g,16,67
vegetables,redcabbage,100g,31,130
vegetables,rutabaga,100g,38,160
vegetables,shallots,100g,72,302
vegetables,spinach,100g,23,97
vegetables,squash,100g,45,189
vegetables,sweetpotato,100g,86,361
vegetables,tomato,100g,18,76
vegetables,turnipgreens,100g,20,84
vegetables,turnips,100g,28,118
vegetables,wasabi,100g,109,458
vegetables,wintersquash,100g,34,143
vegetables,zucchini,100g,17,71
fastfood,arbysgrandturkeyclub,100g,210,882
fastfood,arbysreuben,100g,208,874
fastfood,arbysroastbeefclassic,100g,234,983
fastfood,arbysroastbeefmax,100g,234,983
fastfood,bbqrib,100g,212,890
fastfood,beanburrito,100g,200,840
fastfood,bigntasty,100g,223,937
fastfood,bratwurst,100g,333,1399
fastfood,burgerkingangrywhopper,100g,255,1071
fastfood,burgerkingdoublewhopper,100g,239,1004
fastfood,burgerkingdoublewhopperwithcheese,100g,249,1046
fastfood,burgerkingoriginalchickensandwich,100g,301,1264
fastfood,burgerkingpremiumalaskanfishsandwich,100g,259,1088
fastfood,burgerkingtriplewhopper,100g,269,1130
fastfood,burgerkingwhopper,100g,231,970
fastfood,burgerkingwhopperjr,100g,234,983
fastfood,burgerkingwhopperwithcheese,100g,241,1012
fastfood,cheeseburger,100g,263,1105
fastfood,chickenbreast,100g,163,685
fastfood,chickenfajita,100g,147,617
fastfood,chickenmcnuggets,100g,302,1268
fastfood,chickennuggets,100g,296,1243
fastfood,chickenpizziola,100g,141,592
fastfood,chickensandwich,100g,241,1012
fastfood,chickenteriyakisandwich,100g,138,580
fastfood,chickenwings,100g,324,1361
fastfood,chopsuey,100g,172,722
fastfood,curlyfries,100g,311,1306
fastfood,doublecheeseburger,100g,267,1121
fastfood,eggroll,100g,250,1050
fastfood,falafel,100g,335,1407
fastfood,filetofish,100g,282,1184
fastfood,fishandchips,100g,195,819
fastfood,fishsandwich,100g,273,1147
fastfood,frenchfries,100g,312,1310
fastfood,grilledchickensalad,100g,88,370
fastfood,hamsandwich,100g,241,1012
fastfood,hamburger,100g,254,1067
fastfood,hotdog,100g,269,1130
fastfood,italianbmt,100g,183,769
fastfood,lasagna,100g,132,554
fastfood,mcdonaldsbigmac,100g,256,1075
fastfood,mcdonaldscheeseburger,100g,263,1105
fastfood,mcdonaldschickennuggets,100g,297,1247
fastfood,mcdonaldsdoublecheeseburger,100g,282,1184
fastfood,mcdonaldsfiletofish,100g,275,1155
fastfood,mcdonaldsmcchicken,100g,251,1054
fastfood,mcdonaldsmcdouble,100g,252,1058
fastfood,mcdonaldsmcmuffiegg,100g,225,945
fastfood,mcdonaldsmcrib,100g,265,1113
fastfood,mcdonaldsmightywings,100g,308,1294
fastfood,mcrib,100g,265,1113
fastfood,meatballsandwich,100g,161,676
fastfood,nachoswithcheese,100g,306,1285
fastfood,onionrings,100g,411,1726
fastfood,smokedsalmon,100g,158,664
fastfood,spicyitalian,100g,219,920
fastfood,subwayclubsandwich,100g,131,550
fastfood,tortillawrap,100g,271,1138
fastfood,tuna,100g,86,361
fastfood,turkey,100g,104,437
fastfood,veggieburger,100g,181,760
fastfood,veggiedelight,100g,138,580
fastfood,veggiepatty,100g,390,1638
fastfood,wendysbaconator,100g,304,1277
fastfood,wendysjrbaconcheeseburger,100g,261,1096
fastfood,wendysjrcheeseburger,100g,225,945
fastfood,wendyssonofbaconator,100g,321,1348
fastfood,whopper,100g,231,970
fastfood,zinger,100g,256,1075
fastfood,zingerburger,100g,256,1075
fastfood,poutine,100g,227,953
pizza,bbqchickenpizza,100g,234,983
pizza,bbqpizza,100g,224,941
pizza,beefpizza,100g,304,1277
pizza,biancapizza,100g,246,1033
pizza,buffalochickenpizza,100g,252,1058
pizza,calabresepizza,100g,235,987
pizza,calzone,100g,231,970
pizza,capricciosapizza,100g,260,1092
pizza,cheesepizza,100g,267,1121
pizza,chickenpizza,100g,234,983
pizza,deepdishpizza,100g,265,1113
pizza,dominosphillycheesesteakpizza,100g,224,941
pizza,fourcheesepizza,100g,221,928
pizza,goatcheesepizza,100g,219,920
pizza,grilledpizza,100g,226,949
pizza,hawaiianpizza,100g,115,483
pizza,margheritapizza,100g,275,1155
pizza,mozzarellapizza,100g,249,1046
pizza,mushroompizza,100g,212,890
pizza,napolipizza,100g,202,848
pizza,newyorkstylepizza,100g,169,710
pizza,pepperonipizza,100g,255,1071
pizza,pizzadough,100g,228,958
pizza,pizzahutstuffedcrustpizza,100g,255,1071
pizza,pizzahutsupremepizza,100g,248,1042
pizza,pizzarolls,100g,247,1037
pizza,quattroformaggipizza,100g,248,1042
pizza,redpepperpizza,100g,192,806
pizza,salamipizza,100g,255,1071
pizza,sausagepizza,100g,246,1033
pizza,seafoodpizza,100g,245,1029
pizza,shrimppizza,100g,209,878
pizza,sicilianpizza,100g,241,1012
pizza,spinachfetapizza,100g,242,1016
pizza,spinachpizza,100g,234,983
pizza,stuffedcrustpizza,100g,255,1071
pizza,tarteflambée,100g,253,1063
pizza,thincrustpizza,100g,261,1096
pizza,tunapizza,100g,254,1067
pizza,vegetablepizza,100g,256,1075
pizza,vegetarianpizza,100g,256,1075
pizza,veggiepizza,100g,231,970
pizza,whitepizza,100g,246,1033
cheese,americancheese,100g,148,622
cheese,applewood,100g,410,1722
cheese,asiagocheese,100g,392,1646
cheese,babybel,100g,333,1399
cheese,bluecheese,100g,353,1483
cheese,brie,100g,334,1403
cheese,camembert,100g,300,1260
cheese,cheddar,100g,403,1693
cheese,cheesefondue,100g,228,958
cheese,cheesespread,100g,290,1218
cheese,cheesewhiz,100g,276,1159
cheese,chester,100g,387,1625
cheese,colbycheese,100g,394,1655
cheese,colbyjackcheese,100g,394,1655
cheese,cottagecheese,100g,98,412
cheese,dutchcheese,100g,393,1651
cheese,edamcheese,100g,357,1499
cheese,emmentaler,100g,357,1499
cheese,feta,100g,264,1109
cheese,fontina,100g,389,1634
cheese,freshmozzarella,100g,280,1176
cheese,gjetost,100g,466,1957
cheese,goatcheese,100g,364,1529
cheese,gorgonzola,100g,350,1470
cheese,gouda,100g,356,1495
cheese,gratedparmesan,100g,431,1810
cheese,grilledcheese,100g,350,1470
cheese,gruyere,100g,413,1735
cheese,halloumi,100g,321,1348
cheese,havarti,100g,371,1558
cheese,italiancheese,100g,397,1667
cheese,jarlsberg,100g,352,1478
cheese,maasdamcheese,100g,344,1445
cheese,manchegocheese,100g,320,1344
cheese,monterey,100g,373,1567
cheese,montereyjackcheese,100g,373,1567
cheese,mozzarella,100g,280,1176
cheese,muenstercheese,100g,368,1546
cheese,neufchatel,100g,253,1063
cheese,parmesan,100g,431,1810
cheese,pecorino,100g,387,1625
cheese,provolone,100g,351,1474
cheese,raclettecheese,100g,357,1499
cheese,ricotta,100g,174,731
cheese,romano,100g,387,1625
cheese,roquefort,100g,369,1550
cheese,sheepcheese,100g,364,1529
cheese,softcheese,100g,268,1126
cheese,stiltoncheese,100g,393,1651
cheese,stringcheese,100g,250,1050
cheese,swisscheese,100g,380,1596
cheese,whitecheddar,100g,403,1693
cheese,wisconsincheese,100g,389,1634
creamcheese,chivecreamcheese,100g,342,1436
creamcheese,cottagecheese,100g,98,412
creamcheese,creamcheese,100g,342,1436
creamcheese,creamcheesewithherbs,100g,342,1436
creamcheese,fetacreamcheese,100g,342,1436
creamcheese,garliccreamcheese,100g,342,1436
creamcheese,goatcheese,100g,364,1529
creamcheese,horseradish,100g,48,202
creamcheese,mascarpone,100g,450,1890
creamcheese,obatzda,100g,303,1273
creamcheese,olivecreamcheese,100g,342,1436
creamcheese,pestocreamcheese,100g,342,1436
creamcheese,philadelphiacreamcheese,100g,342,1436
creamcheese,pineapplecreamcheese,100g,342,1436
creamcheese,salmoncreamcheese,100g,342,1436
creamcheese,vegetablecreamcheese,100g,342,1436
creamcheese,walnutcreamcheese,100g,342,1436
milkdairyproducts,almondmilk,100ml,17,71
milkdairyproducts,buttermilk,100ml,62,260
milkdairyproducts,chocolatemousse,100g,225,945
milkdairyproducts,coconutmilk,100ml,230,966
milkdairyproducts,coffeecreamer,100g,195,819
milkdairyproducts,condensedmilk,100g,321,1348
milkdairyproducts,cottagecheese,100g,98,412
milkdairyproducts,cream,100g,242,1016
milkdairyproducts,cremefraiche,100g,393,1651
milkdairyproducts,curd,100g,98,412
milkdairyproducts,custard,100g,122,512
milkdairyproducts,evaporatedmilk,100g,135,567
milkdairyproducts,goatmilk,100g,69,290
milkdairyproducts,hotchocolate,100ml,89,374
milkdairyproducts,kefir,100ml,55,231
milkdairyproducts,lactosefreemilk,100ml,52,218
milkdairyproducts,lassi,100ml,75,315
milkdairyproducts,milk,100ml,61,256
milkdairyproducts,plainyogurt,100g,61,256
milkdairyproducts,powderedmilk,100g,496,2083
milkdairyproducts,quark,100g,145,609
milkdairyproducts,ricemilk,100ml,49,206
milkdairyproducts,ricepudding,100g,118,496
milkdairyproducts,semiskimmedmilk,100ml,50,210
milkdairyproducts,semolinapudding,100g,67,281
milkdairyproducts,skimmilk,100ml,35,147
milkdairyproducts,sourcream,100g,181,760
milkdairyproducts,soymilk,100ml,45,189
milkdairyproducts,sweetenedcondensedmilk,100ml,321,1348
milkdairyproducts,tzatziki,100g,117,491
milkdairyproducts,whippedcream,100g,257,1079
milkdairyproducts,wholemilk,100ml,61,256
milkdairyproducts,yogurt,100g,61,256
slicedcheese,americancheese,100g,148,622
slicedcheese,applewood,100g,410,1722
slicedcheese,bergkäse,100g,418,1756
slicedcheese,buttercheese,100g,388,1630
slicedcheese,cheddar,100g,403,1693
slicedcheese,cheeseplatter,100g,357,1499
slicedcheese,cheeseslices,100g,356,1495
slicedcheese,colbycheese,100g,394,1655
slicedcheese,colbyjackcheese,100g,394,1655
slicedcheese,coldpackcheese,100g,246,1033
slicedcheese,edam,100g,357,1499
slicedcheese,edamcheese,100g,357,1499
slicedcheese,emmental,100g,357,1499
slicedcheese,emmentaler,100g,357,1499
slicedcheese,esromcheese,100g,322,1352
slicedcheese,folepi,100g,388,1630
slicedcheese,freshmozzarella,100g,280,1176
slicedcheese,gouda,100g,356,1495
slicedcheese,goudacheese,100g,356,1495
slicedcheese,havarti,100g,371,1558
slicedcheese,lacyswisscheese,100g,321,1348
slicedcheese,leerdammer,100g,284,1193
slicedcheese,leerdammercheese,100g,284,1193
slicedcheese,maasdamcheese,100g,344,1445
slicedcheese,montereyjackcheese,100g,373,1567
slicedcheese,mozzarella,100g,280,1176
slicedcheese,muenstercheese,100g,368,1546
slicedcheese,peppercheese,100g,100,420
slicedcheese,sandwichcheese,100g,148,622
slicedcheese,smokedcheese,100g,410,1722
slicedcheese,tilsit,100g,340,1428
slicedcheese,whiteamerican,100g,148,622
slicedcheese,whitecheddar,100g,403,1693
slicedcheese,younggouda,100g,356,1495
yogurt,activia,100g,74,311
yogurt,activialemon,100g,100,420
yogurt,activiastrawberry,100g,97,407
yogurt,aloeverayogurt,100g,85,357
yogurt,ayran,100ml,42,176
yogurt,birchermuesliyogurt,100g,109,458
yogurt,blueberryyogurt,100g,105,441
yogurt,cherryyogurt,100g,97,407
yogurt,chocolateyogurt,100g,128,538
yogurt,creamyogurt,100g,124,521
yogurt,creamyyogurt,100g,90,378
yogurt,dietyogurt,100g,54,227
yogurt,fruityogurt,100g,97,407
yogurt,greekyogurt,100g,53,223
yogurt,lowfatyogurt,100g,63,265
yogurt,moccayogurt,100g,100,420
yogurt,organicyogurt,100g,75,315
yogurt,peachyogurt,100g,97,407
yogurt,plainyogurt,100g,61,256
yogurt,probioticyogurt,100g,80,336
yogurt,skimmilkyogurt,100g,56,235
yogurt,stracciatellayogurt,100g,139,584
yogurt,strawberryyogurt,100g,100,420
yogurt,vanillayogurt,100g,101,424
yogurt,yogurt,100g,61,256
yogurt,yogurtcorner,100g,119,500
yogurt,yoplaitbostoncreampie,100g,90,378
yogurt,yoplaitfrenchvanilla,100g,100,420
yogurt,yoplaitgreekblueberry,100g,100,420
yogurt,yoplaitgreekcoconut,100g,100,420
yogurt,yoplaitgreekstrawberry,100g,100,420
yogurt,yoplaitgreekvanilla,100g,100,420
yogurt,yoplaitharvestpeach,100g,100,420
yogurt,yoplaitkeylimepie,100g,100,420
yogurt,yoplaitmango,100g,100,420
yogurt,yoplaitmixedberry,100g,100,420
yogurt,yoplaitpinacolada,100g,100,420
yogurt,yoplaitstrawberry,100g,100,420
yogurt,yoplaitstrawberrybanana,100g,100,420
yogurt,yoplaitstrawberrycheesecake,100g,100,420
beefveal,beef,100g,171,718
beefveal,beefbrisket,100g,137,575
beefveal,beeffillet,100g,189,794
beefveal,beefgoulash,100g,123,517
beefveal,beefminutesteak,100g,133,559
beefveal,beefneck,100g,213,895
beefveal,beefpancreas,100g,271,1138
beefveal,beefpatty,100g,247,1037
beefveal,beefprimerib,100g,404,1697
beefveal,beefribs,100g,196,823
beefveal,beefsirloin,100g,182,764
beefveal,beefsuet,100g,854,3587
beefveal,beeftallow,100g,902,3788
beefveal,beefthymus,100g,319,1340
beefveal,beeftripe,100g,94,395
beefveal,chuckroast,100g,141,592
beefveal,chucksteak,100g,137,575
beefveal,filetmignon,100g,207,869
beefveal,flanksteak,100g,194,815
beefveal,groundbeef,100g,241,1012
beefveal,groundchuck,100g,250,1050
beefveal,groundround,100g,212,890
beefveal,mincedveal,100g,143,601
beefveal,porterhousesteak,100g,247,1037
beefveal,ribeyesteak,100g,217,911
beefveal,roastbeef,100g,187,785
beefveal,rumpsteak,100g,171,718
beefveal,skirtsteak,100g,205,861
beefveal,stewbeef,100g,191,802
beefveal,stripsteak,100g,117,491
beefveal,tbonesteak,100g,221,928
beefveal,veal,100g,282,1184
beefveal,vealbreast,100g,282,1184
beefveal,vealleg,100g,211,886
beefveal,vealroastbeef,100g,175,735
beefveal,vealshank,100g,177,743
beefveal,vealshoulder,100g,183,769
beefveal,vealsirloin,100g,204,857
beefveal,vealtenderloin,100g,217,911
coldcutslunchmeat,bakedham,100g,343,1441
coldcutslunchmeat,beefsalami,100g,375,1575
coldcutslunchmeat,boiledham,100g,126,529
coldcutslunchmeat,bologna,100g,247,1037
coldcutslunchmeat,bresaola,100g,178,748
coldcutslunchmeat,capicola,100g,110,462
coldcutslunchmeat,chickenbreastfillet,100g,79,332
coldcutslunchmeat,choppedham,100g,180,756
coldcutslunchmeat,chorizo,100g,455,1911
coldcutslunchmeat,cornedbeef,100g,251,1054
coldcutslunchmeat,dutchloaf,100g,268,1126
coldcutslunchmeat,ham,100g,145,609
coldcutslunchmeat,hamsausage,100g,164,689
coldcutslunchmeat,headcheese,100g,157,659
coldcutslunchmeat,hickoryham,100g,188,790
coldcutslunchmeat,honeyham,100g,122,512
coldcutslunchmeat,liverwurst,100g,326,1369
coldcutslunchmeat,oliveloaf,100g,232,974
coldcutslunchmeat,ovenroastedturkeybreast,100g,104,437
coldcutslunchmeat,parmaham,100g,345,1449
coldcutslunchmeat,pastrami,100g,133,559
coldcutslunchmeat,pepperoni,100g,494,2075
coldcutslunchmeat,pimentoloaf,100g,265,1113
coldcutslunchmeat,porkroast,100g,247,1037
coldcutslunchmeat,prosciutto,100g,195,819
coldcutslunchmeat,roastbeef,100g,267,1121
coldcutslunchmeat,salami,100g,336,1411
coldcutslunchmeat,serranoham,100g,300,1260
coldcutslunchmeat,smokedham,100g,107,449
coldcutslunchmeat,smokedturkeybreast,100g,104,437
coldcutslunchmeat,summersausage,100g,298,1252
coldcutslunchmeat,tongue,100g,284,1193
coldcutslunchmeat,turkeybreast,100g,104,437
coldcutslunchmeat,turkeyham,100g,126,529
coldcutslunchmeat,turkeysalami,100g,152,638
meat,alligator,100g,232,974
meat,beef,100g,248,1042
meat,beefbrisket,100g,242,1016
meat,beefjerky,100g,410,1722
meat,beefribs,100g,238,1000
meat,beeftenderloin,100g,218,916
meat,chicken,100g,219,920
meat,chickenbreast,100g,172,722
meat,chickendrumstick,100g,185,777
meat,chickenfat,100g,898,3772
meat,chickengiblets,100g,158,664
meat,chickengizzards,100g,146,613
meat,chickenleg,100g,174,731
meat,chickenliver,100g,167,701
meat,chickenmeat,100g,172,722
meat,chickenthigh,100g,229,962
meat,chickenwing,100g,266,1117
meat,chucksteak,100g,277,1163
meat,cubedsteak,100g,199,836
meat,duck,100g,337,1415
meat,filetmignon,100g,267,1121
meat,flanksteak,100g,194,815
meat,flatironsteak,100g,137,575
meat,groundbeef,100g,246,1033
meat,groundround,100g,246,1033
meat,ham,100g,163,685
meat,newyorkstripsteak,100g,199,836
meat,ostrich,100g,145,609
meat,pork,100g,196,823
meat,porkbabybackribs,100g,212,890
meat,porkchops,100g,196,823
meat,porkcountrystyleribs,100g,247,1037
meat,porkloin,100g,204,857
meat,porkroast,100g,254,1067
meat,porksteaks,100g,196,823
meat,roastbeef,100g,140,588
meat,roundsteak,100g,182,764
meat,schnitzel,100g,156,655
meat,spareribs,100g,238,1000
meat,standingribroast,100g,333,1399
meat,tbonesteak,100g,202,848
meat,turkey,100g,189,794
meat,turkeybreast,100g,135,567
meat,turkeylegs,100g,208,874
meat,turkeysteak,100g,189,794
meat,turkeywings,100g,221,928
offalgiblets,beefbrain,100g,196,823
offalgiblets,beefheart,100g,165,693
offalgiblets,beefkidney,100g,158,664
offalgiblets,beefliver,100g,191,802
offalgiblets,beeflung,100g,120,504
offalgiblets,beefmelt,100g,271,1138
offalgiblets,beeftongue,100g,284,1193
offalgiblets,calfbrain,100g,136,571
offalgiblets,calfliver,100g,192,806
offalgiblets,calflung,100g,104,437
offalgiblets,calfmelt,100g,256,1075
offalgiblets,chickengiblets,100g,277,1163
offalgiblets,chickenheart,100g,185,777
offalgiblets,chickenliver,100g,172,722
offalgiblets,chickenstomach,100g,148,622
offalgiblets,chitterlings,100g,233,979
offalgiblets,duckliver,100g,136,571
offalgiblets,gooseliver,100g,133,559
offalgiblets,hogmaws,100g,157,659
offalgiblets,pigbrain,100g,138,580
offalgiblets,pigheart,100g,148,622
offalgiblets,pigkidney,100g,151,634
offalgiblets,piglung,100g,99,416
offalgiblets,porkliver,100g,165,693
offalgiblets,porkmelt,100g,219,920
offalgiblets,porktongue,100g,271,1138
offalgiblets,turkeygiblets,100g,173,727
offalgiblets,turkeyheart,100g,174,731
offalgiblets,turkeyliver,100g,189,794
offalgiblets,turkeystomach,100g,148,622
offalgiblets,vealheart,100g,186,781
offalgiblets,vealkidney,100g,163,685
offalgiblets,vealtongue,100g,202,848
pork,bacon,100g,407,1709
pork,brawn,100g,309,1298
pork,canadianstylebacon,100g,107,449
pork,chitterlings,100g,233,979
pork,groundpork,100g,263,1105
pork,hogmaws,100g,250,1050
pork,lard,100g,898,3772
pork,meatloaf,100g,89,374
pork,parmaham,100g,261,1096
pork,pigear,100g,166,697
pork,pigfat,100g,638,2680
pork,pigstail,100g,396,1663
pork,pigstrotter,100g,243,1021
pork,porkbacon,100g,407,1709
pork,porkbelly,100g,518,2176
pork,porkbladesteak,100g,232,974
pork,porkchop,100g,123,517
pork,porkcountrystyleribs,100g,133,559
pork,porkcrownroast,100g,212,890
pork,porkcutlet,100g,131,550
pork,porkcutlets,100g,131,550
pork,porkleg,100g,201,844
pork,porkloin,100g,143,601
pork,porkmeatloaf,100g,243,1021
pork,porkragout,100g,73,307
pork,porkribroast,100g,159,668
pork,porkribs,100g,292,1226
pork,porkroast,100g,194,815
pork,porksausage,100g,339,1424
pork,porkshank,100g,172,722
pork,porkshoulder,100g,269,1130
pork,porkshoulderblade,100g,232,974
pork,porkstomach,100g,250,1050
pork,rackofpork,100g,241,1012
pork,saltmeat,100g,286,1201
pork,saltpork,100g,286,1201
